idxSin;cov;incDate;decDate;cloDate;accYear;pay;eval
S00125551;TTG;2018-01-01;2018-01-02;2018-06-26;2018;213.87;213.87
S00125563;TTG;2018-01-01;2018-01-02;2018-03-13;2018;568.65;568.65
S00125572;TTG;2018-01-01;2018-01-08;2018-02-27;2018;409.81;409.81
S00125584;TTG;2018-01-01;2018-01-01;2018-06-25;2018;1485.54;1485.54
S00125605;TTG;2018-01-01;2018-01-01;2018-03-30;2018;272.19;272.19
S00125622;TTG;2018-01-01;2018-01-01;2018-01-08;2018;944.11;944.11
S00125636;TTG;2018-01-01;2018-01-11;2018-01-20;2018;406.81;406.81
S00125653;TTG;2018-01-01;2018-01-02;2018-05-12;2018;3828.36;3828.36
S00125672;TTG;2018-01-01;2018-01-01;2018-06-18;2018;205.0;205.0
S00125691;TTG;2018-01-01;2018-01-03;2018-01-19;2018;1222.7;1222.7
S00125703;TTG;2018-01-01;2018-01-01;2018-01-26;2018;0.0;0.0
S00125723;TTG;2018-01-01;2018-01-03;2018-07-17;2018;180.95;180.95
S00125733;TTG;2018-01-01;2018-01-04;2018-06-27;2018;687.69;687.69
S00125752;TTG;2018-01-01;2018-01-04;2018-04-14;2018;513.72;513.72
S00125770;TTG;2018-01-01;2018-02-09;2018-04-05;2018;5327.01;5327.01
S00125785;TTG;2018-01-01;2018-01-01;2018-01-23;2018;4822.34;4822.34
S00125807;TTG;2018-01-01;2018-01-03;2018-01-03;2018;2410.08;2410.08
S00125822;TTG;2018-01-01;2018-01-01;2018-01-18;2018;2362.2;2362.2
S00125845;TTG;2018-01-01;2018-01-01;2018-07-02;2018;852.03;852.03
S00125863;TTG;2018-01-01;2018-01-01;2018-05-10;2018;5027.23;5027.23
S00125880;TTG;2018-01-01;2018-01-01;2018-01-01;2018;1292.17;1292.17
S00125894;TTG;2018-01-01;2018-01-01;2018-09-03;2018;1994.69;1994.69
S00125919;TTG;2018-01-01;2018-01-05;2018-05-08;2018;2553.85;2553.85
S00125935;TTG;2018-01-02;2018-01-14;2018-02-04;2018;6285.39;6285.39
S00125953;TTG;2018-01-02;2018-01-02;2018-03-13;2018;917.73;917.73
S00125968;TTG;2018-01-02;2018-01-03;2018-02-04;2018;2495.89;2495.89
S00125980;TTG;2018-01-02;2018-01-04;2018-01-14;2018;21868.0;21868.0
S00126000;TTG;2018-01-02;2018-01-02;2018-09-08;2018;766.47;766.47
S00126019;TTG;2018-01-02;2018-01-02;;2018;0.0;1600.0
S00126019;TTG;2018-01-02;2018-01-02;2019-01-30;2019;1397.25;1397.25
S00126031;TTG;2018-01-02;2018-01-05;2018-03-02;2018;2293.59;2293.59
S00126052;TTG;2018-01-02;2018-01-02;2018-02-19;2018;12363.13;12363.13
S00126067;TTG;2018-01-02;2018-01-03;2018-03-22;2018;921.6;921.6
S00126077;TTG;2018-01-02;2018-01-02;2018-01-10;2018;1045.5;1045.5
S00126095;TTG;2018-01-02;2018-01-04;2018-03-06;2018;2567.17;2567.17
S00126106;TTG;2018-01-02;2018-01-05;2018-01-19;2018;2720.52;2720.52
S00126127;TTG;2018-01-02;2018-01-05;2018-02-05;2018;205.0;205.0
S00126157;TTG;2018-01-02;2018-01-03;2018-02-14;2018;1334.35;1334.35
S00126171;TTG;2018-01-02;2018-01-02;2018-01-20;2018;0.0;0.0
S00126190;TTG;2018-01-02;2018-01-02;2018-02-19;2018;0.0;0.0
S00126210;TTG;2018-01-02;2018-01-15;2018-02-04;2018;4695.72;4695.72
S00126227;TTG;2018-01-02;2018-01-03;2018-08-22;2018;1396.01;1396.01
S00126246;TTG;2018-01-02;2018-01-03;2018-01-30;2018;12047.86;12047.86
S00126271;TTG;2018-01-02;2018-01-02;2018-06-06;2018;570.45;570.45
S00126293;TTG;2018-01-02;2018-01-06;2018-02-22;2018;2569.15;2569.15
S00126309;TTG;2018-01-02;2018-01-26;2018-02-26;2018;6448.23;6448.23
S00126326;TTG;2018-01-02;2018-01-09;2018-03-10;2018;7564.73;7564.73
S00126343;TTG;2018-01-03;2018-01-03;2018-02-09;2018;761.63;761.63
S00126357;TTG;2018-01-03;2018-01-04;2018-02-16;2018;6403.92;6403.92
S00126381;TTG;2018-01-03;2018-01-03;2018-08-16;2018;2868.86;2868.86
S00126400;TTG;2018-01-03;2018-01-03;2018-01-24;2018;0.0;0.0
S00126419;TTG;2018-01-03;2018-01-14;2018-07-18;2018;2009.08;2009.08
S00126432;TTG;2018-01-03;2018-01-04;2018-02-07;2018;840.55;840.55
S00126447;TTG;2018-01-03;2018-01-03;;2018;0.0;1600.0
S00126447;TTG;2018-01-03;2018-01-03;2019-01-15;2019;1158.33;1158.33
S00126463;TTG;2018-01-03;2018-01-03;2018-01-30;2018;395.95;395.95
S00126480;TTG;2018-01-03;2018-01-11;2018-02-03;2018;705.11;705.11
S00126501;TTG;2018-01-03;2018-01-03;2018-01-20;2018;1377.33;1377.33
S00126523;TTG;2018-01-03;2018-01-12;2018-01-19;2018;1003.77;1003.77
S00126539;TTG;2018-01-03;2018-01-03;2018-07-30;2018;699.42;699.42
S00126556;TTG;2018-01-03;2018-01-05;2018-01-19;2018;682.2;682.2
S00126572;TTG;2018-01-03;2018-01-03;2018-01-10;2018;666.44;666.44
S00126589;TTG;2018-01-03;2018-01-03;2018-02-07;2018;2797.82;2797.82
S00126598;TTG;2018-01-03;2018-01-03;2018-02-01;2018;1724.19;1724.19
S00126611;TTG;2018-01-04;2018-01-04;2018-04-10;2018;2579.27;2579.27
S00126629;TTG;2018-01-04;2018-01-04;2018-02-04;2018;0.0;0.0
S00126645;TTG;2018-01-04;2018-01-06;2018-02-08;2018;6341.99;6341.99
S00126666;TTG;2018-01-04;2018-01-06;2018-09-16;2018;0.0;0.0
S00126691;TTG;2018-01-04;2018-01-05;2018-07-02;2018;754.51;754.51
S00126711;TTG;2018-01-04;2018-01-04;2018-02-02;2018;205.0;205.0
S00126730;TTG;2018-01-04;2018-01-11;2018-03-01;2018;12812.65;12812.65
S00126750;TTG;2018-01-04;2018-01-06;2018-02-15;2018;356.52;356.52
S00126759;TTG;2018-01-04;2018-01-04;2018-02-07;2018;9397.7;9397.7
S00126775;TTG;2018-01-04;2018-01-08;2018-04-14;2018;1016.64;1016.64
S00126788;TTG;2018-01-04;2018-01-05;2018-01-05;2018;395.11;395.11
S00126802;TTG;2018-01-04;2018-01-04;2018-02-16;2018;651.88;651.88
S00126822;TTG;2018-01-04;2018-01-04;2018-05-03;2018;1466.33;1466.33
S00126836;TTG;2018-01-04;2018-01-06;2018-05-25;2018;7818.42;7818.42
S00126854;TTG;2018-01-04;2018-01-05;2018-01-29;2018;1408.43;1408.43
S00126875;TTG;2018-01-04;2018-01-14;2018-04-30;2018;281.06;281.06
S00126892;TTG;2018-01-04;2018-01-05;2018-02-01;2018;1384.4;1384.4
S00126910;TTG;2018-01-04;2018-01-04;2018-01-04;2018;2735.94;2735.94
S00126923;TTG;2018-01-04;2018-01-04;2018-03-13;2018;639.84;639.84
S00126941;TTG;2018-01-04;2018-01-04;2018-01-24;2018;5733.48;5733.48
S00126955;TTG;2018-01-04;2018-01-09;2018-04-05;2018;13602.74;13602.74
S00126970;TTG;2018-01-04;2018-01-08;2018-01-21;2018;163.16;163.16
S00126983;TTG;2018-01-05;2018-01-05;2018-01-22;2018;19210.78;19210.78
